name,type,date,location,distance,distance_meters,time,time_seconds,pace,splits,notes
Unknown 10K,road,3/19/94,"Houston, TX",10k,,0:36:39,,,,
Unknown 8k,road,8/13/94,,8k,,0:29:32,,,,
Unknown 5k,road,1/24/97,"Houston, TX",5k,,17:55,,,"5:49, 5:54, 5:42, 29.5",
Unknown 5k,road,4/19/97,"Houston, TX",5k,,17:25,,,"5:32, 5:49, 5:32, 30.6",
Cross Country 3.5 miles,cross country,4/24/97,"Houston, TX",3.5 miles,5632.69,22:08,,,,
Bayou Relay,cross country,5/10/97,"Houston, TX",2.8 miles,4506.152,15:55,,5:37,,
Rice all-comers meet,track,7/18/97,"Houston, TX",1 mile,,5:27,,,,
Rice all-comers meet,track,7/25/97,"Houston, TX",1 mile,,5:20,,,"1:17, 1:21, 1:23, 1:18",
Rice all-comers meet,track,8/1/97,"Houston, TX",1 mile,,5:18,,,"1:14, 1:22, 1:23, 1:17",
Hard Rock 5k,road,10/11/97,"Houston, TX",5k,,17:48,,,"5:38, 5:58, 6:10",
Gallery Furniture 20k,road,10/19/97,"Houston, TX",20k,,1:15:44,,,"6:08, 6:19, 6:19, 6:05, 6:07, 6:03, 6:16, 6:03, 6:06, 5:58, 5:56, 5:57, 2:20",
Houston Warmup Series 25k,road,11/16/97,"Houston, TX",25k,,1:34:11,,6:05,"6:05, 6:18, 6:12, 6:06, 6:12, 6:01, 6:05, 6:07, 6:04, 6:18, 5:56, 5:43, 5:56, 6:00, 9:03",
Unknown 30k,road,1/14/01,"Austin, TX, USA",30k,,1:55:30,,6:12,,
3M Half-Marathon,road,2/4/01,"Austin, TX, USA",Half-Marathon,,1:15:47,,5:47,"5:58, 5:54, 5:38, 5:53, 5:54, 5:48, 5:48, 5:48, 5:46, 5:53, 5:42, 5:37, 5:31, :33",
Austin Marathon,road,2/18/01,"Austin, TX, USA",Marathon,,2:44:29,,6:16,"5:49, 6:10, 6:03, 6:10, 6:09, 6:19, 6:06, 6:11, 6:17, 6:02, 6:19, 6: 14, 6:03, 6:15, 6:21, 6:10, 6:22, 6:18, 6:26, 6:28, 6:26, 6:31, 6:28, 6:23, 6:31, 6:30, 1:15",
